zipcode,city,state,latitude,longitude,timezone,dst
1059,"North Amherst","MA",42.37,-72.64,-5,1
1060,"Northampton","MA",42.32,-72.64,-5,1
1061,"Northampton","MA",42.37,-72.64,-5,1
1062,"Florence","MA",42.32,-72.68,-5,1
1063,"Northampton","MA",42.32,-72.64,-5,1
1066,"North Hatfield","MA",42.41,-72.63,-5,1
1068,"Oakham","MA",42.35,-72.04,-5,1
1069,"Palmer","MA",42.18,-72.33,-5,1
1070,"Plainfield","MA",42.52,-72.92,-5,1
1071,"Russell","MA",42.17,-72.85,-5,1
1072,"Shutesbury","MA",42.49,-72.42,-5,1
1073,"Southampton","MA",42.22,-72.73,-5,1
1074,"South Barre","MA",42.38,-72.15,-5,1
1075,"South Hadley","MA",42.23,-72.58,-5,1
1077,"Southwick","MA",42.05,-72.77,-5,1
1079,"Thorndike","MA",42.19,-72.33,-5,1
1080,"Three Rivers","MA",42.18,-72.37,-5,1
1081,"Wales","MA",42.06,-72.23,-5,1
1082,"Ware","MA",42.27,-72.26,-5,1
1083,"Warren","MA",42.2,-72.2,-5,1
1084,"West Chesterfield","MA",42.38,-72.89,-5,1
1085,"Westfield","MA",42.13,-72.75,-5,1
1086,"Westfield","MA",42.17,-72.85,-5,1
1088,"West Hatfield","MA",42.39,-72.63,-5,1
1089,"West Springfield","MA",42.11,-72.64,-5,1
1090,"West Springfield","MA",42.17,-72.6,-5,1
1092,"West Warren","MA",42.21,-72.24,-5,1
1093,"Whately","MA",42.44,-72.65,-5,1
1094,"Wheelwright","MA",42.36,-72.14,-5,1
1095,"Wilbraham","MA",42.13,-72.44,-5,1
1096,"Williamsburg","MA",42.42,-72.78,-5,1
1097,"Woronoco","MA",42.16,-72.85,-5,1
1098,"Worthington","MA",42.4,-72.94,-5,1
1101,"Springfield","MA",42.17,-72.6,-5,1
1102,"Springfield","MA",42.17,-72.6,-5,1
1103,"Springfield","MA",42.1,-72.59,-5,1
1104,"Springfield","MA",42.13,-72.57,-5,1
1105,"Springfield","MA",42.1,-72.58,-5,1
